########################Scenario Events#######################;;;;;;;x,,,,,,,,,,,,,,,,
scenario_explanation_title;§YPUIR Scenario Explanation§!;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
mechanic_explanation_title;§YPUIR Mechanic Explanation§!;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
scenario_explanation_desc;This decision will fire a master event which has sub-events detailing information about multiple different things unique to the PUIR scenario.;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
mechanic_explanation_desc;This decision will fire a master event which has sub-events detailing information about multiple different mechanics unique to PUIR.;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
EVTNAME992270;Scenario information within the mod;;;;;;;;;;;;;;;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
EVTDESC992270;This event contains sub-events that give information relating to the specific scenario of the event.;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
EVTNAME9922788;Mechanic information within the mod;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
EVTDESC9922788;This event contains sub-events that give information relating to the specific mechanic of the event.;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
EVTOPT992271;Thank you §G(Return to Event Menu)§!;;;;;;;x,,,,,,,,,,,,,,,,
EVTOPT992272;Thank you §W(Exit Event)§!;;;;;;;;;x,,,,,,,,,,,,,,,,
EVTNAME992271;Ukrainian Breadbasket;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
EVTDESC992271;The Ukrainian Breadbasket begins firing in 1860. It will apply province modifers that give 0.1% pop growth permanently to all provinces in the following states: Rovne, Kiev, Cherson, Crimea, Poltava. Anyone who owns this land will recieve the Breadbasket events applying the province modifiers to the land. The Ukrainian Breadbasket is Russia's main source of pop growth when it fires and is integral to Russia's position as a late game superpower.;;;;;;;;;;;x;,,,,,,,,,,,,
EVTNAME992272;Japanese Korean Stating;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
EVTDESC992272;When Japan annexes Korea it will trigger a chain event which will immediately make Korea into states for Japan. This is done because Japan now starts civilized. This chain can fire at any point of the game so long as Japan takes all of Korea, it will have no effect if Korea was annexed by Japan after it was civilized.;;;;;;;;;;;x;,,,,,,,,,,,,,,,
EVTNAME992273;Immigration System;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
EVTDESC992273;The immigration system in CoRGI currently rotates each month. This means that one month North America will receive all the immigrants while South America gets none and then the next month, South America will receive all the immigrants while North America gets none. The only exception to this rule is the USA, who recieves immigration during both periods.;;;;;;;;;;;x;,,,,,,,,,,,,,,
EVTNAME992274;Italian Formation;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
EVTDESC992274;Italian formation in CoRGI is currently under a Victory Point system. What this means is that to form Italy you must control more Victory Provinces than your rival. The 5 victory provinces are: Turin, Modena, Florence, Rome, Naples. Depending on the date you will need more or less VP's under your control. To form Italy in 1845 you must control all 5 VP's, after 1850 you need 4 VP's, after 1855 you need 3 VP's and after 1860 you need 2 VP's to form and your rival may not have 2 VP's either. Whoever forms Italy out of the Two Sicilies or Sardinia-Piedmont will annex all other Italian minors and change country to Italy. This will happen regardless of whether there is a player on the rival country or not. There is no other way to form Italy!;;;;;;;;;;;x;,,,,,,,,,,
EVTNAME992275;Prussian Lapse;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
EVTDESC992275;The Prussian Lapse is an event chain that exists for Prussia. This event chain will slowly annex North Germans that are Prussian spherelings to Prussia overtime. It is completely randomised how long it will take and the North Germans that are annexed are randomised. German minors under 125,000 pops are annexed much faster than ones that are above 125,000 pops. The mean time to happen for these events will be reduced up to 1860. You can at any time eat North Germans through normal wars as well. The lapse does not apply to any South German nations or spherelings of other nations. The 'Further Political Integration in Northern Germany' decision that Prussia has will annex a random German minor for 5 infamy. It will only work for German minors that have been in your sphere for 10 years. If you fire this decision and you have not had a minor in your sphere for 10 years it will do nothing and you will not get infamy back! ;;;;;;;;;;;x;,,,,,,,,,,,,,,
EVTNAME992276;Portugal-Brazil Formation;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
EVTDESC992276;In CoRGI Portugal may form Portugal Brazil. To do so they require the states of Pernambuco, Bahia and Rio De Janeiro. This has the potential to drastically change diplomacy in South America, depending on whether Spain is helping Portugal or not but even if they aren't it should be noted for the players in the region.;;;;;;;;;;;x;,,,,,,,,,,,,,,
EVTNAME992277;Chinese Economic Zone Nations;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
EVTDESC992277;In CoRGI there are Chinese treaty port nations. These are substates of China that will go into a countries sphere if they own the accompanying treaty port. They instantly civilize upon a country taking the treaty port and will go into that countries sphere while remaining a substate. In the event a secondary power owns the treaty port, it will go into its sphereleaders sphere and civilize. In the event of this not existing it will remain as is. These are nations that you can invest in and they provide secure goods. There is no other way of sphering the economic zones without owning the treaty port itself.;;;;;;;;;;;x;,,,,,,,,,,,,,,,
EVTNAME992278;Combat;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
