##########################;;;;;;;;;;;;;x
##########################Decisions###########################;;;;;;;;;;;;;x
##########################;;;;;;;;;;;;;x
build_ceraunia_canal_title;Build the Kavohn Canal;;;;;;;;;;;;;;x
build_ceraunia_canal_desc;After the continent of Tempe Terra fell into the sea, a new culture of Pirates and Vikings emerged from the hardest hit East: The Tempest have been harrassing any ships passing around the long pennisula which is all that remains of the sub-continent. To that end, we've decided to finally choke out their lifesource: We should build a canal through Kavohn thus bypassing the pirates.;;;;;;;;;;;;;;x
build_renost_canal_title;Finish the Renost Canal;;;;;;;;;;;;;;x
build_renost_canal_desc;The plans to build a Canal that directly connects the Temp Terran Sea and Valles Marineris has been in production for a while. The first half had already been completed long ago, which connected the inner lake to the sea, but then the Noachian Invasion happened and the Empire put the project on hold while it struggled for survival. Now though we should finish what has been started!;;;;;;;;;;;;;;x
build_middle_mars_canal_title;Build the Middle Passage Canal;;;;;;;;;;;;;;x
build_middle_mars_canal_desc;There has always been a dream to find a way to 'sail through' the continent. There had been legends going back centuries that spoke of suppossed mystic routes, but now that we've surveyed the whole planet it's clear that such a thing does not exist. However, the pock-marked lands here in Aonia have proven to be easy to dig canals through. Now though there's one last part that needs to be dug: and this will require locks and much more engineering to create. With our level of technology though this can be done easily. It will certainly be worth it to finally create the Middle Passage!;;;;;;;;;;;;;;x
planumian_settlement_policy_title;Planumian Settlement Policy.;;;;;;;;;;;;;;x
planumian_settlement_policy_desc;The lands of the so called 'Planumian' peoples have always been hotly contested. To solidify our claim to this region we must take aggressive action in either assimilating or displacing these tribals with our own people.\n\n§GThis Decision can be taken by any nations with Celestian, Versian, Hellenian, or Australe Hellenic primary culture and gives +200% assim bonus on Planumian, you can all take the decision at the same time. Versian will have the easiest time assimilating however as they share culture groups with Planumian.;;;;;;;;;;;;;;x
form_elysia_title;Unite Elysia;;;;;;;;;;;;;;x
form_elysia_desc;The isolated Island of Elysia has been long ignored by the wider world. Now that we've united our island, we need to look outward to expanding out influence to the rest of Mars. Eylsian or Aboric, anyone who lives on our island is a friend and everyone who lives elsewhere is our enemy!;;;;;;;;;;;;;;x
form_tyrrhena_title;Reclaim the Tyrrhenan Empire;;;;;;;;;;;;;;x
form_tyrrhena_desc;In many of the shared religious text of Sabea, they speak of a mythical empire united under the rule of the Tyrrhenan Empire. We clearly can claim to have formed this mystic Empire and achieve Paradise on Mars!;;;;;;;;;;;;;;x
form_hellas_title;Unite the Hellenes;;;;;;;;;;;;;;x
form_hellas_desc;Hellas has finally been united under our fair rule, we should once again claim the ancient title of 'Hegemon of Hellas'!;;;;;;;;;;;;;;x
form_eosian_title;Unite the Eosians;;;;;;;;;;;;;;x
form_hellas_desc;The Eosians had never been united before, under the Empire of Valles Marineris they had just fought among each other (and against the Empire for more autonomy), with many republics and petty kingdoms having very prestigious histories of their own. Still, it's clear in this new world where we are surrounded by hostile powers we must stand together, else we'll be made slaves together. The Eosian Federation will rise!;;;;;;;;;;;;;;x
form_west_argyle_title;Complete the Reconquista of West Argyle;;;;;;;;;;;;;;x
form_west_argyle_desc;Argyle was once an independent Kingdom, and the source of faith in the Singularity. However our fall and demise is spoken in the Scriptures themselves: We first were subjugated by the Empire of Valles Marineris and then we were then faced with invasion from Terraformed Saracens. Now though, we stand united and will bow to no one once more: May West Argyle rise!;;;;;;;;;;;;;;x
form_tharsis_fossae_title;Liberate the Tharsians;;;;;;;;;;;;;;x
