FE_BASIC;Premise;x
FE_MEDIUM;History;x
FE_ADVANCED;Interesting Nations;x
FE_SETTING_BODY_1;Mars Revolutions is a Victoria II mod, based on the original 'Middle Mars' mod for CK2 by Zombaxx, set on a terraformed Mars. Unlike most depictions of terraformed Mars the map projection is centered on the South Pole, additionally the water level of Mars is higher than it is on Earth to try and make Mars more habitable for a larger population. Due to the projection being centered on the South Pole, 'circumnavigation' is impossible as the North Pole is the edges of the map. Many countries and cultures base their names off the real names of the regions of Mars they reside in: such as Noctis Fossae and Valles Marineris and the Hellenic cultures. A large variety of animals were brought to Mars for stable ecosystems, animal husbandry, and farming. Many were genetically engineered to enhance or adapt their function to better thrive on Mars. When the disaster happened some of the more experimental/dangerous species escaped into the wild  Long ago, many centuries after Mars had been fully Terraformed, Earth went dark on the same day all electronics on Mars stopped working. All ships not in orbit fell from the sky. Mars quickly descended into chaos as society collapsed, bringing on a new Dark Age. Most of the population succumbed to famine as governments broke down and nations fractured. Around 1000 years later humanity is recovering and has entered a new Era, largely forgetting an accurate history of Earth and the disaster. No one except the Spacers know if Earth is still around and it is thought of as more of a holy icon and legend. Some ideologies reject the concept or existence of Earth as we know it.;x
FE_SETTING_BODY_2;Mars was mostly comprised of savage, brutal, medieval age societies until a major development occured about 70 years ago: The Spacers, a group of Celestial Travelers from the Tau Ceti star system who wished to investigate what happened to Earth, arrived at the Tharsis Montes Space Elevator, later they also settled near the Planum Australe Space Elevator and began terrforming the peninsula of Promethi Terra on the north side of the Hellas Sea. There is no hyperspeed travel: this journey took thousands of years. Due to having spent their entire lives in artificial gravity, they are unable to survive on the gravity well of a world without special gravity acclimating drugs which are in short supply as most fabricators aboard their only colony spaceship are in poor repair. A large portion of their population must forever remain in space and be provided with the resources necessary to survive in exchange for industrial goods and knowledge, they hope also that they may be able to repair their ships after 'uplifting' the Martians. Previously Mars had been in a near feudal state but due to the Spacer's help many states have now started to rapidly begin to industrialize.\n\nA New Victoria Era has begun on the Red Planet.;x
FE_SETTING_BODY_3;From the ashes of The Disaster, new societies slowly emerged across the scarred Martian landscape. In the western hemisphere, the Divine Truth took root around the holy city of Argyre, teaching that only a Messiah could reunite humanity with its lost origins. Eventually this faith diverged into Holy Terra, which removed the idea of a messiah into a more general theology of penance. The Olympic culture spread across the western Tharsis Rise through the conquests of Xander the Great, whose empire brought Alba and much of the surrounding highlands under a single banner. After Xander's death however the Alban Warlords reclaimed the mountains with help from an ascendant Valles Marineris. On the peninsula of Tempe Terra, those forged by the catastrophic sinking of their ancestral lands beneath Oceanus Borealis, mastered the seas and terrorized coasts from Argyre to Olympus Mons for generations, conquering Alba before being expelled by the Warlords in turn. In the east, the ancient traditions of Hellas: Vimanism, Yoghism, and the radically pacifist Ahimsaism flourished in relative coexistence, while across the southern reaches the Terraformed faith took hold, its adherents believing the dormant atmospheric machines must be reactivated before the escaping atmosphere dooms all life, along with the Altered who believed only the strong could survive the coming apocalypse. For generations, the great Valles Marineris Empire presided over the west, and under its influence the Alban Warlords largely converted to mainstream Singularitan belief during an era of relative peace.;x
FE_SETTING_BODY_4;Stability bred complacency. The Great Schism sundered the Singularitan faith into Holy Terra: whose disciples seek to purge vice and reconnect with Earth, and Blessed Singularity: which holds all humanity equal under the Singularity and accuses the Terrans of manufacturing meekness as a tool of control. This fracture destabilized the empire's heartlands and turned Tharsis as a whole into a backwater. Meanwhile, in Noachis Terra, the Fadlids united the southern tribes under the Terraformed banner and launched invasions across the Argyre Sea, seizing Western Argyre in pursuit of the ancient terraforming machines. The Terraformed and Altered faiths also spread into Hellas itself: leading to it's own native faiths being eradicated and only existing in Sabea where it originally spread through trade. There are many more cultures fighting for survival: Kemetic tribals worshipping alien technology in hopes of reaching untouched moons, Escudo Solarists preparing for a third impact, and the Aiti Marsilaine preserving the scripts of forgotten Earth deities. The arrival of the Spacers and the spread of advanced technology has ignited a population boom and accelerated industrialization, upending old hierarchies and opening new frontiers. Lands beckon for colonization, fallen empires stir toward restoration, revolutionary faiths march outward, and ancient kingdoms struggle to hold power on a world changing faster than any prophet foresaw.;x
FE_TUTORIAL;Mars Lore;x
FE_JII;§WValles Marineris;x
FE_POU;§WNoctis Fossae;x
FE_VOK;§WCelestial Protectorate;x
FE_VUG;§WThe Fadlid Beylik;x
FE_VAF;§WThe Xipilids;x
FE_GAU;§WGrand Duchy of Dala;x
FE_RAN;§WCeraunia;x
FE_BOG;§WTharsis Montes;x
FE_MAM;§WHouse Musk;x
FE_JIISHANAG;The Great Valles Marineris Empire has had a rather tumulteous century: They once had influence over almost all of Tharsis, and their demesne stretched from Archeron to Argyle, now the Valley itself is under siege.;x
FE_POUMNIA;Noctis Fossae recently broke away from the dying Valles Marineris, however they nearly lost to a reinvasion. A Noctian Jihad secured their independance, for now. Their ambitions are rather great: a Holy Terran Empire.;x
FE_VOKONAZH;The Celestial Protectorate, situationed in Promethi Terra, are the undisputed most advanced nation on Mars. But as colonial expedition of the Tau Ceti fleet, they have limits to their mission.;x
FE_VEYETHU;The Fadlids, a nomadic Noctian tribe, united Noachis Terra under the Terraformed faith and have launched a Jihad across the Sea into Western Argyle. They now seek to expand further into Valles Marineris.;x
FE_VAFAUT;The Xipilids are descendants of an exiled Elysian tribe who left the isolated Island for the greater world. Their odyssey has scattered them across Mars, but a New Elysia will be realized.;x
FE_GAUBJA;The Grand Duchy of Dala finds themselves in a bit of a quagmire: They are surrounded by the bloodthirst Oddyseans, and the Terraformed Zealots along with backwater Tribal Despots. This may be an opportunity though.;x
FE_RANNU;Ceraunia are the more civilized remnants of the Tempe Terrans, who converted to the Singularitan religion. Their goal still remains the same though: expand their influence into Archeron and Alba.;x
FE_BOGORUG;Tharsis Montes were the original Tau Ceti Colony, but one that nearly was destroyed. Captain Mogui 'The Demon' however rallied them and is hellbent on committing genocide on the Solarians for Tau Ceti. Perhaps all of Tharsis.;x
FE_MAMATOUKAT;House Musk were the winners of the Alban Warlord period, briefly uniting the mountainous region into Alba Montes. Things have gone downhill from there. Now it is time to reclaim their glory: For House Musk!;x
